year,iso3c,employed,total_hours
2009,ESP,19967800,34168083000
2009,SWE,4517400,7279030000
2009,CHE,4469114.985,7377512000
2009,GBR,29154264,47854656000
2009,USA,142183000,241081000000
2009,BRA,96559172.932,NA
2009,BGR,3749295,6172380000
2009,HRV,1736658,3348213000
2009,CYP,403643,745565000
2009,MLT,161002,352560000
2009,MKD,713077,NA
2009,ROU,9017120,16370519000
2009,ZAF,14193824.214,NA
2010,AUT,4098225.9999999995,6814810000
2010,CZE,5057241,9097036000
2010,DNK,2789862,3967990000
2010,EST,548100,1027523999.9999999
2010,FIN,2491000,4081400000
2010,DEU,41099000,58581224000
2010,GRC,4706437,9587642000
2010,IRL,1923011,3232078000
2010,ISR,3365634.874,6563966000
2010,ITA,24594300,42873727000
2010,JPN,65560000,NA
2010,LVA,843505,1632306000
2010,LTU,1250516,2401763000
2010,LUX,359016,546073000
2010,MEX,45063030,101121764000
2010,NLD,8779000,12555250000
2010,NZL,2155500,3715353000
2010,NOR,2552000,3649000000
2010,PRT,4871325,9224524000
2010,SVK,2169822,3916851000
2010,SVN,963411,1618844000
2010,ESP,19605800,33392886000
2010,SWE,4547600,7453130000
2010,CHE,4481711.2809999995,7221331000
2010,GBR,29226867,47643888000
2010,USA,141386000,241331000000
2010,BRA,98116218,NA
2010,BGR,3603885,5927815000
2010,HRV,1670308,3243477000
2010,CYP,406138,749327000
2010,MLT,163792,349871000
2010,MKD,687375,NA
2010,ROU,8725050,16060021000
2010,ZAF,13787976.154,NA
2011,AUT,4161953.0000000005,6946302000
2011,CRI,1798007,4117233000
2011,CZE,5031899,9081465000
2011,DNK,2786628,4003930000
2011,EST,584000,1120616000
2011,FIN,2528700,4122300000
2011,DEU,41570000,59328001000
2011,GRC,4505137,9268543000
2011,ISR,3480578.609,6759099000
2011,ITA,24654300,42874627000
2011,JPN,65354000,NA
2011,LTU,1257370,2383112000
2011,LUX,369628,561666000
2011,MEX,46050452,103019324000
2011,NLD,8850000,12661903000
2011,NZL,2181900,3752928000
2011,NOR,2589000,3714000000
2011,POL,15457300,31588538000
2011,PRT,4779124,8918626000
2011,SVK,2208313,3959528000
2011,SVN,947238,1575597000
2011,ESP,19130200,32685721000
2011,SWE,4652200,7629400000
2011,CHE,4597581.183,7394332000
2011,GBR,29374489,48274745000
2011,USA,142183000,244851000000
2011,BRA,99560157,NA
2011,BGR,3524552,5792925000
2011,HRV,1604284,3111101000
2011,CYP,407264,752321000
2011,MLT,168618,348792000
2011,MKD,697093,NA
2011,ROU,8522690,15760767000
2011,ZAF,14070050.140999999,NA
2012,AUT,4205164,6916348000
2012,CRI,1952784,4379311000
2012,CZE,5058262,8975459000
2012,DNK,2767154,3938409000
2012,EST,593500,1119155000
2012,FIN,2544200,4116800000
2012,DEU,42065000,59143211000
2012,GRC,4325833,9080870000
2012,IRL,1877948,3151721000
2012,ISR,3631653.2120000003,6960361000
2012,ITA,24592600,41822830000
2012,JPN,64897000,NA
2012,LVA,868633,1680177000
2012,LTU,1281190,2425306000
2012,LUX,378659,573176000
2012,MEX,47554500,105882412000
2012,NLD,8827000,12549475000
2012,NZL,2172700,3742263000
2012,NOR,2642000,3782000000
2012,POL,15474900,31544036000
2012,PRT,4585323,8453116000
2012,SVK,2209432,3952764000
2012,SVN,938580,1543376000
2012,ESP,18309500,31111891000
2012,SWE,4688200,7620570000
2012,CHE,4679467.023,7452555000
2012,GBR,29694324,49233127000
2012,USA,144750000,249452000000
2012,BRA,100960268,NA
2012,BGR,3436393,5650971000
2012,HRV,1546377,2973660000
2012,CYP,392811,724840000
2012,MLT,173325,353099000
2012,MKD,705383,NA
2012,ROU,8645300,15661331000
2012,ZAF,14424889.214000002,NA
2013,AUT,4224060,6883846000
2013,CHL,8039630.944,NA
2013,CRI,1977879,4265411000
2013,CZE,5076924,8941593000
2013,DNK,2768254,3946826000
2013,EST,600900,1121185000
2013,FIN,2523800,4064400000
2013,DEU,42378000,59148407000
2013,GRC,4300666,9058323000
2013,IRL,1933230,3279859000
2013,ISR,3738399.184,7128323000
2013,ITA,24144000,40742474000
2013,JPN,65162000,NA
2013,KOR,25299400,53134508000
2013,LVA,888632,1713053000
2013,LTU,1298742,2436842000
2013,LUX,385538,580732000
2013,MEX,48127656,107379296000
2013,NLD,8719000,12439253000
2013,NZL,2235800,3874577000
2013,NOR,2672000,3797000000
2013,POL,15463800,31465038000
2013,PRT,4452545,8257205000
2013,SVK,2192251,3883821000
2013,SVN,928020,1542634000
2013,ESP,17906900,30228796000
2013,SWE,4736000,7652910000
2013,CHE,4736049.807,7448384000
2013,GBR,30041770,50113904000
2013,USA,146187000,253010000000
2013,BRA,102537398,NA
2013,BGR,3421577,5628429000
2013,HRV,1502608,2867716000
2013,CYP,370848,671342000
2013,MLT,181095,362900000
2013,MKD,744838,NA
2013,ROU,8569400,15480252000
2013,ZAF,14865627.834999999,NA
2014,AUT,4266237,6916021000
2014,CHL,8153126.289,NA
2014,CRI,2016823,4306992000
2014,CZE,5103969,9043221000
2014,DNK,2786200,3938742000
2014,EST,605500,1125886000
2014,FIN,2510000,4031800000
2014,FRA,27452000,41292763000
2014,DEU,42756000,59858671000
2014,GRC,4453731,9158616000
2014,IRL,1984007,3387679000
2014,ISR,3853521.531,7295869000
2014,ITA,24145400,40698993000
2014,JPN,65428000,NA
2014,KOR,25897200,53615338000
2014,LVA,876632,1699326000
2014,LTU,1325234,2475161000
2014,LUX,395120,597449000
2014,MEX,48337284,107765504000
2014,NLD,8706000,12523791000
2014,NZL,2317000,4010646000
2014,NOR,2700000,3844000000
2014,POL,15731000,32112035000
2014,PRT,4521480,8421755999.999999
2014,SVK,2223149,3911884000
2014,SVN,931892,1567244000
2014,ESP,18092600,30543000000
2014,SWE,4805300,7769280000
2014,CHE,4825249.884,7549158000
2014,GBR,30752516,51506655000
2014,USA,148507000,257835000000
2014,BRA,105472678,NA
2014,BGR,3434165,5645978000
2014,HRV,1542332,2915942000
2014,CYP,363409,659747000
2014,MLT,192121,373734000
2014,MKD,762506,NA
2014,ROU,8634600,15477810000
2014,ZAF,15146303.543,NA
2015,AUT,4291973,6863767000
2015,CHL,8293054.376,NA
2015,CRI,2005279,4325207000
2015,CZE,5175094,9054958000
2015,DNK,2827150,3977497000
2015,EST,622900,1153372000
2015,FIN,2518000,4040500000
2015,DEU,43137000,60460401000
2015,GRC,4322573,8823481000
2015,HUN,4299169,7507100000
2015,IRL,2053547,3489512000
2015,ISR,3937457.752,7459152000
2015,ITA,24303200,41025829000
2015,JPN,65518000,NA
2015,KOR,26177700,54378778000
2015,LTU,1343869,2545302000
2015,LUX,405239,615741000
